"ranking","idCCAA_INE","idComunidad","comunidad","idProvincia","provincia","idMunicipio","municipio","num_incendios","supquemada"
1,"03","05","ASTURIAS",33,"ASTURIAS",33036,"LLANES",1725,4611.7000
2,12,"03","GALICIA",36,"PONTEVEDRA",36009,"CAÑIZA, A",1521,3794.6700
3,"03","05","ASTURIAS",33,"ASTURIAS",33011,"CANGAS DEL NARCEA",1349,19155.2100
4,"03","05","ASTURIAS",33,"ASTURIAS",33049,"PILOÑA",1341,5321.7400
5,12,"03","GALICIA",32,"OURENSE",32086,"VIANA DO BOLO",1290,7667.4300
6,12,"03","GALICIA",32,"OURENSE",32051,"MUIÑOS",1200,2991.6400
7,12,"03","GALICIA",32,"OURENSE",32044,"MANZANEDA",1176,10203.6600
8,12,"03","GALICIA",32,"OURENSE",32034,"GUDIÑA, A",1127,6163.9800
9,12,"03","GALICIA",36,"PONTEVEDRA",36034,"NEVES, AS",1081,1396.6300
10,"03","05","ASTURIAS",33,"ASTURIAS",33012,"CANGAS DE ONÍS",1074,3732.8200
11,12,"03","GALICIA",36,"PONTEVEDRA",36030,"MONDARIZ",1067,2183.6500
12,"03","05","ASTURIAS",33,"ASTURIAS",33073,"TINEO",997,8100.3000
13,"03","05","ASTURIAS",33,"ASTURIAS",33033,"LENA",929,4060.0700
14,12,"03","GALICIA",32,"OURENSE",32048,"MEZQUITA, A",924,4140.5200
15,12,"03","GALICIA",36,"PONTEVEDRA",36050,"SALVATERRA DE MIÑO",894,348.0900
16,12,"03","GALICIA",15,"A CORUÑA",15073,"RIBEIRA",860,1806.8000
17,12,"03","GALICIA",32,"OURENSE",32029,"CHANDREXA DE QUEIXA",854,5841.5800
18,12,"03","GALICIA",32,"OURENSE",32063,"POBRA DE TRIVES, A",852,1294.1900
19,12,"03","GALICIA",15,"A CORUÑA",15077,"SANTA COMBA",841,2054.0100
20,12,"03","GALICIA",15,"A CORUÑA",15011,"BOIRO",827,2813.3200
21,12,"03","GALICIA",36,"PONTEVEDRA",36042,"PONTEAREAS",824,1637.9700
22,12,"03","GALICIA",36,"PONTEVEDRA",36054,"TOMIÑO",818,403.0300
23,"03","05","ASTURIAS",33,"ASTURIAS",33044,"OVIEDO",760,1004.2100
24,"03","05","ASTURIAS",33,"ASTURIAS",33026,"GRADO",744,2616.1200
25,12,"03","GALICIA",15,"A CORUÑA",15078,"SANTIAGO DE COMPOSTELA",742,1571.7600
26,12,"03","GALICIA",15,"A CORUÑA",15019,"CARBALLO",737,577.3700
27,12,"03","GALICIA",32,"OURENSE",32028,"CUALEDRO",736,6617.9000
28,12,"03","GALICIA",36,"PONTEVEDRA",36047,"RODEIRO",711,2341.9900
29,12,"03","GALICIA",32,"OURENSE",32023,"CASTRO CALDELAS",706,1285.6100
30,"03","05","ASTURIAS",33,"ASTURIAS",33001,"ALLANDE",705,10920.4700
31,12,"03","GALICIA",36,"PONTEVEDRA",36024,"LALÍN",695,2128.2600
32,12,"03","GALICIA",36,"PONTEVEDRA",36018,"FORCAREI",684,3671.6300
33,12,"03","GALICIA",32,"OURENSE",32092,"VILARIÑO DE CONSO",684,4667.5300
34,12,"03","GALICIA",36,"PONTEVEDRA",36049,"SALCEDA DE CASELAS",662,634.6900
35,12,"03","GALICIA",36,"PONTEVEDRA",36020,"AGOLADA",660,1996.5500
36,12,"03","GALICIA",32,"OURENSE",32050,"MONTERREI",646,3297.9700
37,12,"03","GALICIA",36,"PONTEVEDRA",36001,"ARBO",641,3395.6900
38,12,"03","GALICIA",36,"PONTEVEDRA",36038,"PONTEVEDRA",640,3606.9800
39,12,"03","GALICIA",36,"PONTEVEDRA",36013,"COVELO",633,1343.5400
40,"03","05","ASTURIAS",33,"ASTURIAS",33002,"ALLER",612,2600.6600
41,12,"03","GALICIA",32,"OURENSE",32016,"CALVOS DE RANDÍN",608,2880.7500
42,"03","05","ASTURIAS",33,"ASTURIAS",33037,"MIERES",606,1860.2500
43,12,"03","GALICIA",36,"PONTEVEDRA",36017,"ESTRADA, A",588,2052.3900
44,12,"03","GALICIA",27,"LUGO",27065,"VILALBA",584,1302.7600
45,12,"03","GALICIA",32,"OURENSE",32071,"RIÓS",584,1516.0400
46,12,"03","GALICIA",36,"PONTEVEDRA",36057,"VIGO",581,101.5400
47,12,"03","GALICIA",27,"LUGO",27028,"LUGO",579,707.3200
48,12,"03","GALICIA",32,"OURENSE",32042,"LOBIOS",578,1814.4000
49,12,"03","GALICIA",32,"OURENSE",32017,"CARBALLEDA DE VALDEORRAS",576,5876.1800
50,12,"03","GALICIA",32,"OURENSE",32054,"OURENSE",575,1103.5200
51,12,"03","GALICIA",15,"A CORUÑA",15045,"MAZARICOS",562,3528.5100
52,"03","05","ASTURIAS",33,"ASTURIAS",33008,"CABRALES",558,1812.5300
53,12,"03","GALICIA",36,"PONTEVEDRA",36039,"PORRIÑO, O",556,202.9200
